"110年07月27日 外資及陸資買賣超彙總表"
,,,"外資及陸資(不含外資自營商)",,,"外資自營商",,,"外資及陸資",,,
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
" ","2614  ","東森            ","360,000","42,000","318,000","0","0","0","360,000","42,000","318,000",
" ",="00633L","富邦上証正2     ","1,151,000","835,000","316,000","0","0","0","1,151,000","835,000","316,000",
" ","2838  ","聯邦銀          ","353,000","38,000","315,000","0","0","0","353,000","38,000","315,000",
" ","2345  ","智邦            ","870,360","556,625","313,735","0","0","0","870,360","556,625","313,735",
" ","3702  ","大聯大          ","1,387,988","1,080,000","307,988","0","0","0","1,387,988","1,080,000","307,988",
" ",="00639 ","富邦深100       ","558,000","251,000","307,000","0","0","0","558,000","251,000","307,000",
" ","1326  ","台化            ","2,909,976","2,606,077","303,899","0","0","0","2,909,976","2,606,077","303,899",
" ","1734  ","杏輝            ","382,100","80,000","302,100","0","0","0","382,100","80,000","302,100",
" ","2451  ","創見            ","410,000","109,000","301,000","0","0","0","410,000","109,000","301,000",
" ","5388  ","中磊            ","469,000","168,000","301,000","0","0","0","469,000","168,000","301,000",
" ",="0056  ","元大高股息      ","642,775","350,000","292,775","0","0","0","642,775","350,000","292,775",
" ","1201  ","味全            ","442,000","152,000","290,000","0","0","0","442,000","152,000","290,000",
" ","6525  ","捷敏-KY         ","1,449,000","1,162,000","287,000","0","0","0","1,449,000","1,162,000","287,000",
" ","2606  ","裕民            ","5,485,000","5,204,045","280,955","0","0","0","5,485,000","5,204,045","280,955",
" ","2845  ","遠東銀          ","342,000","64,000","278,000","0","0","0","342,000","64,000","278,000",
" ","3167  ","大量            ","586,000","311,000","275,000","0","0","0","586,000","311,000","275,000",
" ","1617  ","榮星            ","336,000","62,000","274,000","0","0","0","336,000","62,000","274,000",
" ","2012  ","春雨            ","437,000","171,000","266,000","0","0","0","437,000","171,000","266,000",
" ","2106  ","建大            ","414,000","148,080","265,920","0","0","0","414,000","148,080","265,920",
" ","2031  ","新光鋼          ","2,037,000","1,778,012","258,988","0","0","0","2,037,000","1,778,012","258,988",
