"110年07月20日 外資及陸資買賣超彙總表"
,,,"外資及陸資(不含外資自營商)",,,"外資自營商",,,"外資及陸資",,,
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
" ","2453  ","凌群            ","173,000","38,000","135,000","0","0","0","173,000","38,000","135,000",
" ","2634  ","漢翔            ","363,000","228,000","135,000","0","0","0","363,000","228,000","135,000",
" ","2345  ","智邦            ","504,636","371,170","133,466","0","0","0","504,636","371,170","133,466",
" ","1476  ","儒鴻            ","948,050","815,119","132,931","0","0","0","948,050","815,119","132,931",
" ","8039  ","台虹            ","391,000","263,000","128,000","0","0","0","391,000","263,000","128,000",
" ","1201  ","味全            ","295,000","168,000","127,000","0","0","0","295,000","168,000","127,000",
" ","1736  ","喬山            ","306,000","179,000","127,000","0","0","0","306,000","179,000","127,000",
" ","3443  ","創意            ","582,000","456,000","126,000","0","0","0","582,000","456,000","126,000",
" ","8131  ","福懋科          ","174,000","48,000","126,000","0","0","0","174,000","48,000","126,000",
" ","5607  ","遠雄港          ","407,000","282,000","125,000","0","0","0","407,000","282,000","125,000",
" ",="00891 ","中信關鍵半導體  ","121,100","0","121,100","0","0","0","121,100","0","121,100",
" ",="006206","元大上證50      ","166,000","46,000","120,000","0","0","0","166,000","46,000","120,000",
" ","2393  ","億光            ","1,233,000","1,114,000","119,000","0","0","0","1,233,000","1,114,000","119,000",
" ","6552  ","易華電          ","393,000","277,000","116,000","0","0","0","393,000","277,000","116,000",
" ","2402  ","毅嘉            ","495,000","383,000","112,000","0","0","0","495,000","383,000","112,000",
" ","1701  ","中化            ","544,888","436,000","108,888","0","0","0","544,888","436,000","108,888",
" ","3010  ","華立            ","204,000","96,000","108,000","0","0","0","204,000","96,000","108,000",
" ","8422  ","可寧衛          ","221,000","115,000","106,000","0","0","0","221,000","115,000","106,000",
" ","1712  ","興農            ","242,000","137,000","105,000","0","0","0","242,000","137,000","105,000",
" ","2428  ","興勤            ","335,000","231,000","104,000","0","0","0","335,000","231,000","104,000",
"*","8454  ","富邦媒          ","350,600","246,833","103,767","0","0","0","350,600","246,833","103,767",
" ",="006205","富邦上証        ","103,000","0","103,000","0","0","0","103,000","0","103,000",
" ","3338  ","泰碩            ","180,000","77,000","103,000","0","0","0","180,000","77,000","103,000",
" ",="00651R","FH香港反1       ","100,000","0","100,000","0","0","0","100,000","0","100,000",
" ","3550  ","聯穎            ","243,000","143,000","100,000","0","0","0","243,000","143,000","100,000",
" ","5234  ","達興材料        ","118,100","20,000","98,100","0","0","0","118,100","20,000","98,100",
" ","3045  ","台灣大          ","240,000","142,300","97,700","0","0","0","240,000","142,300","97,700",
" ","4119  ","旭富            ","139,000","42,000","97,000","0","0","0","139,000","42,000","97,000",
" ","1307  ","三芳            ","127,000","32,000","95,000","0","0","0","127,000","32,000","95,000",
" ","1773  ","勝一            ","113,000","18,000","95,000","0","0","0","113,000","18,000","95,000",
" ","2440  ","太空梭          ","283,000","190,000","93,000","0","0","0","283,000","190,000","93,000",
" ","2905  ","三商            ","150,000","58,000","92,000","0","0","0","150,000","58,000","92,000",
" ","6269  ","台郡            ","1,650,666","1,559,974","90,692","0","0","0","1,650,666","1,559,974","90,692",
" ","6438  ","迅得            ","161,000","71,000","90,000","0","0","0","161,000","71,000","90,000",
" ","4938  ","和碩            ","2,695,150","2,605,995","89,155","0","0","0","2,695,150","2,605,995","89,155",
" ","9905  ","大華            ","108,000","20,000","88,000","0","0","0","108,000","20,000","88,000",
" ","2727  ","王品            ","348,000","261,000","87,000","0","0","0","348,000","261,000","87,000",
" ","5434  ","崇越            ","196,000","110,000","86,000","0","0","0","196,000","110,000","86,000",
" ","2505  ","國揚            ","184,320","99,000","85,320","0","0","0","184,320","99,000","85,320",
